x,y,z,yaw,pitch,roll,q1_in,q2_in,q3_in,q4_in,q5_in,q6_in,q1_out,q2_out,q3_out,q4_out,q5_out,q6_out
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.3284,1.27,0.5636,2.6069,-1.9365,1.6033,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.4207,1.4541,0.4485,2.5839,-1.8311,1.6013,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.379,1.2661,0.4509,2.6244,-1.8506,1.6029,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.2993,1.3852,0.531,2.7366,-1.814,1.6521,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.3649,1.2897,0.4184,2.6428,-1.8649,1.5676,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.3249,1.2912,0.4464,2.5897,-1.8998,1.5592,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.4176,1.3286,0.5633,2.6116,-1.8361,1.5879,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.4149,1.4647,0.4849,2.7631,-1.7931,1.6682,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.4037,1.3351,0.567,2.5842,-1.8215,1.5895,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.272,1.4168,0.5706,2.6902,-1.8578,1.6635,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.2311,1.2704,0.4546,2.7274,-1.8271,1.5846,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.4134,1.3993,0.4785,2.6398,-1.9175,1.5498,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
167.0198,-810.7052,-342.5971,-2.7846,-0.4678,2.5467,-1.2696,1.435,0.4554,2.7401,-1.8929,1.6202,-1.3232,1.365,0.4803,2.6717,-1.872,1.6005
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.3196,-0.1649,-0.6497,1.5227,0.8703,-6.0411,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.3593,-0.1102,-0.5704,1.5067,0.848,-6.0382,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2517,-0.1259,-0.5886,1.4213,0.9249,-5.9593,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2389,-0.1004,-0.5596,1.5552,0.9982,-6.0867,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2631,-0.0895,-0.5023,1.5071,0.819,-6.0822,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.4327,-0.1894,-0.5795,1.5908,0.8596,-6.1073,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.3043,-0.0614,-0.6234,1.5457,0.8684,-6.083,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2514,-0.1503,-0.6813,1.4297,0.9253,-6.0302,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.4334,-0.1968,-0.6396,1.5699,0.9942,-6.0975,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.318,-0.194,-0.6138,1.4433,0.9971,-5.9882,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.3579,-0.0435,-0.6938,1.4873,0.8974,-5.9534,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.3592,-0.0477,-0.6658,1.4446,0.9651,-5.9271,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.3824,-0.035,-0.5645,1.5787,0.8988,-6.1063,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2846,-0.1416,-0.6513,1.5048,1.0129,-6.0082,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2579,-0.1636,-0.6255,1.5091,0.8859,-6.0211,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.307,-0.0181,-0.6797,1.5867,0.8646,-6.0368,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.3674,-0.0926,-0.6234,1.4811,0.8247,-6.034,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2486,-0.0831,-0.6878,1.4967,0.8917,-5.9696,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.39,-0.1363,-0.6293,1.4884,0.8637,-5.9852,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
-173.5964,83.7515,1304.4554,-2.8572,0.8314,-0.7602,2.2522,-0.0829,-0.6074,1.428,0.9442,-5.9462,2.3348,-0.1041,-0.6016,1.5211,0.9173,-6.0078
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.1175,-2.0105,-0.6597,-2.9002,-0.5944,2.2002,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.2282,-1.9611,-0.6507,-3.0059,-0.5559,2.1686,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.1717,-1.9414,-0.7482,-2.9301,-0.5747,2.1366,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.1152,-2.0165,-0.7068,-3.0031,-0.6666,2.1343,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.1956,-2.0065,-0.6906,-2.9887,-0.675,2.1598,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.2952,-1.92,-0.6701,-3.002,-0.569,2.2455,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.2412,-1.9125,-0.7276,-2.8515,-0.7299,2.2167,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.2459,-2.0078,-0.6164,-2.8622,-0.6615,2.1727,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.1316,-1.943,-0.6091,-2.952,-0.5648,2.1346,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.303,-1.9122,-0.7746,-2.8808,-0.7154,2.166,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
